ProductID,CurrentStock,MinStockLevel,ReorderPoint,LeadTime
TEC-PH-10000000,39,9,14,5
TEC-MA-10000001,106,14,22,7
FUR-FU-10000002,84,6,9,3
FUR-FU-10000003,89,17,27,10
TEC-AC-10000004,96,13,20,7
OFF-BI-10000005,92,13,20,7
TEC-MA-10000006,77,10,15,5
FUR-FU-10000007,11,13,20,7
TEC-PH-10000008,44,19,30,10
FUR-TA-10000009,15,13,20,7
OFF-PA-10000010,1,12,19,7
TEC-AC-10000011,19,16,25,10
FUR-FU-10000012,8,9,14,5
TEC-PH-10000013,105,13,20,7
TEC-MA-10000014,47,6,9,3
TEC-PH-10000015,80,10,15,5
OFF-BI-10000016,76,18,28,10
OFF-AR-10000017,14,13,20,7
TEC-AC-10000018,19,6,9,3
TEC-CO-10000019,23,17,27,10
FUR-BO-10000020,85,6,9,3
TEC-CO-10000021,9,7,10,3
FUR-TA-10000022,76,18,28,10
OFF-PA-10000023,1,6,9,3
TEC-AC-10000024,33,7,10,3
OFF-BI-10000025,53,13,20,7
FUR-CH-10000026,11,10,15,5
TEC-AC-10000027,39,18,28,10
FUR-FU-10000028,31,6,9,3
OFF-AR-10000029,54,6,9,3
FUR-TA-10000030,13,18,29,10
OFF-AP-10000031,36,12,19,7
TEC-PH-10000032,103,10,15,5
OFF-AR-10000033,21,6,9,3
OFF-PA-10000034,71,14,22,7
OFF-AP-10000035,1,15,23,7
FUR-BO-10000036,9,6,9,3
OFF-AP-10000037,83,7,10,3
OFF-AR-10000038,42,17,27,10
FUR-BO-10000039,59,18,29,10
FUR-TA-10000040,58,10,15,5
FUR-BO-10000041,51,10,15,5
FUR-CH-10000042,30,13,20,7
OFF-AR-10000043,81,13,20,7
FUR-TA-10000044,68,9,14,5
FUR-CH-10000045,94,6,9,3
TEC-CO-10000046,118,13,20,7
OFF-BI-10000047,94,18,29,10
FUR-FU-10000048,40,18,28,10
FUR-TA-10000049,95,13,20,7
FUR-FU-10000050,47,9,13,5
FUR-CH-10000051,51,13,20,7
TEC-MA-10000052,86,9,14,5
FUR-FU-10000053,38,18,28,10
OFF-AR-10000054,14,12,19,7
OFF-BI-10000055,2,6,9,3
TEC-AC-10000056,109,18,28,10
FUR-CH-10000057,49,16,25,10
OFF-PA-10000058,94,9,13,5
TEC-AC-10000059,13,13,20,7
TEC-MA-10000060,99,13,20,7
FUR-TA-10000061,7,6,9,3
OFF-AR-10000062,85,6,9,3
OFF-AP-10000063,38,17,27,10
OFF-PA-10000064,49,6,9,3
FUR-TA-10000065,20,18,28,10
TEC-PH-10000066,107,17,27,10
OFF-FA-10000067,100,18,28,10
OFF-AP-10000068,6,6,9,3
TEC-MA-10000069,31,6,9,3
TEC-CO-10000070,31,13,20,7
OFF-AP-10000071,91,7,10,3
OFF-FA-10000072,7,10,15,5
