OrderID,OrderDate,CustomerID,ProductID,Sales,Quantity,Discount,Profit
CA-2023-100001,2023-01-01,CUST-10874,OFF-AP-10000104,830.55,5,0.0,357.9
CA-2023-100001,2023-01-01,CUST-10874,FUR-TA-10000065,538.14,1,0.0,253.19
CA-2023-100001,2023-01-01,CUST-10874,FUR-FU-10000150,81.8,4,0.0,35.68
CA-2023-100001,2023-01-01,CUST-10874,TEC-MA-10000014,608.28,2,0.0,281.52
CA-2023-100001,2023-01-01,CUST-10874,OFF-PA-10000125,27.38,2,0.0,10.0
CA-2023-100002,2023-01-01,CUST-10722,OFF-AR-10000078,25.29,1,0.0,8.8
CA-2023-100002,2023-01-01,CUST-10722,OFF-BI-10000005,270.6,6,0.0,101.34
CA-2023-100002,2023-01-01,CUST-10722,FUR-FU-10000165,43.08,1,0.0,20.13
CA-2023-100002,2023-01-01,CUST-10722,FUR-TA-10000155,1447.14,6,0.0,603.24
CA-2023-100003,2023-01-01,CUST-10813,OFF-AP-10000098,279.48,3,0.0,102.39
CA-2023-100003,2023-01-01,CUST-10813,OFF-FA-10000079,32.81,3,0.1,14.3
CA-2023-100003,2023-01-01,CUST-10813,FUR-FU-10000163,137.0,2,0.0,60.12
CA-2023-100004,2023-01-01,CUST-10643,FUR-TA-10000065,538.14,1,0.0,253.19
CA-2023-100004,2023-01-01,CUST-10643,OFF-AR-10000077,14.48,1,0.0,4.62
CA-2023-100005,2023-01-01,CUST-10679,OFF-FA-10000112,30.81,3,0.0,13.29
CA-2023-100006,2023-01-01,CUST-10852,OFF-AP-10000104,166.11,1,0.0,71.58
CA-2023-100006,2023-01-01,CUST-10852,TEC-PH-10000008,341.76,2,0.0,134.46
CA-2023-100006,2023-01-01,CUST-10852,TEC-CO-10000070,2597.08,2,0.0,1235.06
CA-2023-100007,2023-01-01,CUST-10248,OFF-AR-10000183,35.66,1,0.0,16.05
CA-2023-100007,2023-01-01,CUST-10248,TEC-CO-10000108,3126.66,3,0.0,1539.0
CA-2023-100008,2023-01-01,CUST-10472,TEC-MA-10000090,5343.4,5,0.0,2112.25
CA-2023-100008,2023-01-01,CUST-10472,TEC-MA-10000107,3511.25,5,0.0,1439.35
CA-2023-100009,2023-01-01,CUST-10220,OFF-PA-10000177,10.79,1,0.0,4.55
CA-2023-100009,2023-01-01,CUST-10220,FUR-FU-10000007,97.47,1,0.0,30.15
CA-2023-100010,2023-01-01,CUST-10987,OFF-PA-10000034,9.19,1,0.0,3.35
CA-2023-100010,2023-01-01,CUST-10987,TEC-PH-10000000,593.54,2,0.0,219.62
CA-2023-100010,2023-01-01,CUST-10987,OFF-FA-10000102,8.04,1,0.0,2.86
CA-2023-100011,2023-01-01,CUST-10944,OFF-BI-10000182,4.43,1,0.0,1.41
CA-2023-100011,2023-01-01,CUST-10944,OFF-FA-10000196,26.25,3,0.0,8.58
CA-2023-100011,2023-01-01,CUST-10944,OFF-BI-10000166,12.32,2,0.0,5.48
CA-2023-100012,2023-01-01,CUST-10037,TEC-PH-10000066,4047.95,5,0.0,1921.35
CA-2023-100012,2023-01-01,CUST-10037,FUR-TA-10000044,1001.31,3,0.0,447.45
CA-2023-100012,2023-01-01,CUST-10037,OFF-AR-10000175,104.16,4,0.0,36.24
CA-2023-100013,2023-01-01,CUST-10696,TEC-MA-10000096,843.68,1,0.1,261.53
CA-2023-100013,2023-01-01,CUST-10696,TEC-AC-10000146,339.51,3,0.0,115.59
CA-2023-100014,2023-01-01,CUST-10925,FUR-TA-10000022,826.59,3,0.0,383.76
CA-2023-100014,2023-01-01,CUST-10925,OFF-AP-10000118,125.06,2,0.2,22.18
CA-2023-100014,2023-01-01,CUST-10925,FUR-FU-10000050,375.76,4,0.0,131.8
CA-2023-100015,2023-01-01,CUST-10175,FUR-TA-10000022,551.06,2,0.0,255.84
CA-2023-100016,2023-01-01,CUST-10552,FUR-TA-10000030,1244.82,3,0.0,534.84
CA-2023-100016,2023-01-01,CUST-10552,FUR-FU-10000003,86.64,2,0.0,26.18
CA-2023-100016,2023-01-01,CUST-10552,OFF-AR-10000183,57.06,2,0.2,17.84
CA-2023-100017,2023-01-01,CUST-10914,FUR-FU-10000048,159.06,2,0.0,65.46
CA-2023-100018,2023-01-01,CUST-10033,TEC-MA-10000097,1860.34,2,0.0,832.76
CA-2023-100018,2023-01-01,CUST-10033,OFF-AR-10000033,16.62,3,0.0,7.53
CA-2023-100019,2023-01-01,CUST-10685,FUR-TA-10000186,356.7,1,0.0,139.67
CA-2023-100019,2023-01-01,CUST-10685,FUR-BO-10000173,739.3,2,0.0,364.42
CA-2023-100020,2023-01-01,CUST-10295,TEC-PH-10000074,709.84,2,0.0,348.48
CA-2023-100021,2023-01-01,CUST-10971,OFF-AP-10000063,555.15,3,0.0,209.22
CA-2023-100021,2023-01-01,CUST-10971,OFF-AP-10000094,425.49,2,0.15,143.05
CA-2023-100022,2023-01-02,CUST-10863,OFF-FA-10000082,43.5,3,0.0,13.77
CA-2023-100023,2023-01-02,CUST-10848,OFF-BI-10000182,8.86,2,0.0,2.82
CA-2023-100024,2023-01-02,CUST-10314,FUR-TA-10000152,430.89,1,0.0,140.3
CA-2023-100024,2023-01-02,CUST-10314,FUR-TA-10000065,538.14,1,0.0,253.19
CA-2023-100024,2023-01-02,CUST-10314,TEC-AC-10000018,72.18,1,0.0,24.96
CA-2023-100025,2023-01-02,CUST-10834,FUR-TA-10000155,723.57,3,0.0,301.62
CA-2023-100025,2023-01-02,CUST-10834,OFF-PA-10000171,18.82,1,0.2,6.28
CA-2023-100026,2023-01-02,CUST-10036,TEC-MA-10000097,2790.51,3,0.0,1249.14
CA-2023-100026,2023-01-02,CUST-10036,OFF-AR-10000077,39.1,3,0.1,9.52
CA-2023-100026,2023-01-02,CUST-10036,OFF-FA-10000101,3.56,2,0.0,1.28
CA-2023-100027,2023-01-02,CUST-10582,FUR-TA-10000086,540.49,1,0.2,94.42
CA-2023-100027,2023-01-02,CUST-10582,TEC-AC-10000119,145.47,3,0.0,50.82
CA-2023-100028,2023-01-02,CUST-10228,OFF-AR-10000029,19.28,1,0.0,8.17
CA-2023-100028,2023-01-02,CUST-10228,OFF-AR-10000080,47.02,2,0.0,19.04
CA-2023-100029,2023-01-02,CUST-10116,TEC-CO-10000191,2377.86,2,0.0,929.26
CA-2023-100029,2023-01-02,CUST-10116,FUR-BO-10000092,470.84,2,0.0,216.44
CA-2023-100030,2023-01-02,CUST-10072,TEC-CO-10000132,5588.79,3,0.0,2331.72
CA-2023-100030,2023-01-02,CUST-10072,OFF-AR-10000080,94.04,4,0.0,38.08
CA-2023-100030,2023-01-02,CUST-10072,FUR-CH-10000111,533.46,2,0.0,193.06
CA-2023-100030,2023-01-02,CUST-10072,FUR-CH-10000042,771.3,6,0.0,294.84
CA-2023-100031,2023-01-02,CUST-10684,TEC-PH-10000013,888.1,1,0.1,311.23
CA-2023-100031,2023-01-02,CUST-10684,FUR-FU-10000048,79.53,1,0.0,32.73
CA-2023-100032,2023-01-02,CUST-10335,OFF-BI-10000180,14.49,1,0.0,4.92
CA-2023-100032,2023-01-02,CUST-10335,TEC-AC-10000119,164.87,4,0.15,38.67
CA-2023-100032,2023-01-02,CUST-10335,FUR-CH-10000111,1600.38,6,0.0,579.18
CA-2023-100033,2023-01-02,CUST-10715,TEC-MA-10000126,661.02,3,0.0,303.27
CA-2023-100033,2023-01-02,CUST-10715,FUR-FU-10000028,60.3,1,0.0,19.76
CA-2023-100034,2023-01-02,CUST-10061,OFF-FA-10000072,3.53,1,0.0,1.15
CA-2023-100035,2023-01-02,CUST-10312,FUR-FU-10000144,212.5,5,0.0,90.1
CA-2023-100035,2023-01-02,CUST-10312,FUR-CH-10000169,267.96,1,0.0,125.8
CA-2023-100035,2023-01-02,CUST-10312,OFF-AR-10000149,122.4,5,0.0,52.75
CA-2023-100035,2023-01-02,CUST-10312,OFF-AR-10000054,38.3,1,0.0,13.91
CA-2023-100036,2023-01-02,CUST-10519,FUR-BO-10000173,591.44,2,0.2,216.56
CA-2023-100036,2023-01-02,CUST-10519,TEC-AC-10000024,176.77,3,0.15,55.3
CA-2023-100037,2023-01-02,CUST-10794,OFF-FA-10000082,11.6,1,0.2,1.69
CA-2023-100037,2023-01-02,CUST-10794,FUR-BO-10000039,1334.88,6,0.0,616.02
CA-2023-100038,2023-01-02,CUST-10610,FUR-TA-10000152,430.89,1,0.0,140.3
CA-2023-100038,2023-01-02,CUST-10610,FUR-FU-10000168,65.56,4,0.0,26.6
CA-2023-100038,2023-01-02,CUST-10610,TEC-MA-10000001,7810.44,6,0.0,2962.14
CA-2023-100038,2023-01-02,CUST-10610,FUR-BO-10000084,1065.11,5,0.1,316.71
